var_name;ref_name;comment
BEN_AMA_COD;-;
BEN_CDI_NIR;-;
BEN_CMU_CAT;-;
BEN_CMU_ORG;-;
BEN_CMU_TOP;-;
BEN_DCD_AME;-;
BEN_DCD_DTE;-;
BEN_EHP_TOP;-;
BEN_IAT_CAT;-;
BEN_NAI_ANN;-;
BEN_PAI_CMU;-;
BEN_NIR_PSA;-;
BEN_RNG_GEM;-;
BEN_QAF_COD;-;
BEN_RES_COM;-;
BEN_RES_DPT;-;
BEN_SEX_COD;-;
ORG_AFF_BEN;-;
PRS_REJ_TOP;-;
EXE_SOI_AMD;-;
EXE_SOI_AMF;-;
EXE_SOI_DTD;-;
EXE_SOI_DTF;-;
PRE_PRE_AMD;-;
PRE_PRE_DTD;-;
PRS_GRS_DTD;-;
PRS_HOS_AMD;-;
PRS_HOS_DTD;-;
BSE_REM_BSE;-;
BSE_REM_MNT;-;
BSE_REM_PRU;-;
BSE_REM_SGN;-;
CPL_REM_BSE;-;
CPL_REM_MNT;-;
CPL_REM_PRU;-;
CPL_REM_SGN;-;
PRS_ACT_CFT;-;
PRS_ACT_COG;-;
PRS_ACT_NBR;-;
PRS_ACT_QTE;-;
PRS_DEP_MNT;-;
PRS_ETA_RAC;-;
PRS_PAI_MNT;-;
RGO_MOD_MNT;-;
ORB_BSE_NUM;-;
ORL_BSE_NUM;-;
RGM_COD;-;
RGM_GRG_COD;-;
ACC_TIE_IND;-;
BSE_FJH_TYP;-;
BSE_PRS_NAT;-;
CPL_AFF_COD;-;
CPL_ANO_COD;-;
CPL_FJH_TYP;-;
CPL_MAJ_TOP;IR_CPL_MAJ_TOP;
CPL_PRS_NAT;-;
DPN_QLF;-;
DRG_MOD;-;
DRG_NAT;-;
EXE_LIE_COD;-;
EXO_MTF;-;
IJR_EMP_NUM;-;
IJR_RVL_NAT;-;
MTM_NAT;-;
ORG_CLE_NEW;-;
PRE_REN_COD;-;
PRS_CRD_OPT;-;
PRS_DPN_QLP;-;
PRS_NAT_REF;-;
PRS_OPS_TRF;-;
PRS_PDS_QCP;-;
PRS_PDS_QTP;-;
PRS_PPF_COD;-;
PRS_PRE_MTT;-;
PRS_REF_KIN;-;
PRS_TOP_ENP;-;
PRS_TYP_KIN;-;
RGO_ASU_NAT;-;
RGO_ENV_TYP;-;
RGO_FTA_COD;-;
RGO_MIN_TAU;-;
RGO_REM_TAU;-;
RGO_THE_TAU;-;
ETB_PRE_FIN;-;
PFS_EXE_NUM;-;
PFS_EXE_NUMC;-;
PFS_PRE_NUM;-;
PFS_PRE_NUMC;-;
PRS_MTT_NUM;-;
PRS_MTT_NUMC;-;
PSE_ACT_NAT;-;
PSE_CNV_COD;-;
PSE_REF_ADH;-;
PSE_SPE_COD;-;
PSE_STJ_COD;-;
PSP_ACT_NAT;-;
PSP_CNV_COD;-;
PSP_PPS_NUM;-;
PSP_PPS_NUMC;-;
PSP_REF_ADH;-;
PSP_SPE_COD;-;
PSP_STJ_COD;-;
PSP_SVI_PPS;-;
DCT_ORD_NUM;-;
FLX_DIS_DTD;-;
FLX_EMT_NUM;-;
FLX_EMT_ORD;-;
FLX_EMT_TYP;-;
FLX_TRT_DTD;-;
ORG_CLE_NUM;-;
PRS_ORD_NUM;-;
REM_TYP_AFF;-;
DCT_ARC_DTE;-;
DCT_ARR_DTE;-;
DCT_CTL_COD;-;
DCT_LOT_TCR;-;
DCT_CTL_TYP;-;
DCT_EMT_IDT;-;
DCT_ENT_SUP;-;
DCT_INT_VER;-;
DCT_MAN_DTD;-;
DCT_MUT_CMP;-;
DCT_MVT_SYS;-;
DCT_REM_DTD;-;
DCT_RGU_SNS;-;
PRS_ANO_COD;-;
PRS_ANO_COM;-;
PRS_ANO_DEF;-;
PRS_ANO_DON;-;
PRS_ANO_ORI;-;
PRS_ENT_COD;-;
PRS_ENT_NUM;-;
CAM_ACT_COD;-;
CAM_ACT_PRU;-;
CAM_ASS_COD;-;
CAM_CAB_IND;-;
CAM_DOC_EXT;-;
CAM_MOD_COD;-;
CAM_ORD_NUM;-;
CAM_PRS_IDE;IR_CCAM_V54;Telecharge depuis le site de l'atih en novembre et pr�process� 
CAM_QUA_DEN;-;
CAM_REM_BSE;-;
CAM_REM_COD;-;
CAM_TRT_PHA;-;
CPT_DEP_PER;-;
CPT_EXC_RTC;-;
CPT_MIR_NUM;-;
CPT_MVT_MNT;-;
CPT_MVT_SGN;-;
CPT_MVT_SNS;-;
CPT_ORD_NUM;-;
CPT_TRM_RGM;-;
CPT_VEN_TYP;-;
GES_CPT_COD;-;
GES_GRG_COD;-;
PHA_ACT_PRU;-;
PHA_ACT_QSN;-;
PHA_CPA_PCP ;-;
PHA_DEC_PRU ;-;
PHA_DEC_QSU ;-;
PHA_DEC_TOP ;-;
PHA_IDE_CPL;-;
PHA_MOD_PRN ;-;
PHA_ORD_NUM;-;
PHA_PRS_C13;-;
PHA_PRS_IDE;-;
PHA_SEQ_RNV;-;
PHA_SUB_MTF;-;
LOT_ORD_NUM;-;
LOT_PHA_NUM;-;
LOT_PHA_QSN;-;
LOT_PHA_TOP;-;
LOT_SER_NUM;-;
BIO_ACT_QSN;-;
BIO_ORD_NUM;-;
BIO_PRS_IDE;-;
LPP_ECT_MNT;-;
LPP_ECU_MNT;-;
TIP_ACL_DTD;-;
TIP_ACL_DTF;-;
TIP_ACT_PRU;-;
TIP_ACT_QSN;-;
TIP_ORD_NUM;-;
TIP_PRS_IDE;-;
TIP_PRS_TYP;-;
TIP_PUB_PRX;-;
TIP_SIR_NUM;-;
TRS_ACT_PRU;-;
TRS_ACT_QSN;-;
TRS_ORD_NUM;-;
TRS_PRS_IDE;-;
TRS_TRS_MTF;-;
ITR_ORD_NUM;-;
TRS_ACP_NOM;-;
TRS_ACP_NOMC;-;
TRS_CDR_NOM;-;
TRS_CDR_NOMC;-;
TRS_ARR_CDP;-;
TRS_DEP_CDP;-;
TRS_TRP_HRA;-;
TRS_TRP_HRD;-;
TRS_VEH_NUM;-;
TRS_VEH_NUMC;-;
UCD_ACH_PRU;-;
UCD_CAL_PRU;-;
UCD_DLV_NBR;-;
UCD_ECT_MNT;-;
UCD_ECU_MNT;-;
UCD_FAC_PRU;-;
UCD_FRC_COE;-;
UCD_LGN_NUM;-;
UCD_MAR_MNT;-;
UCD_ORD_NUM;-;
UCD_RCT_COU;-;
UCD_TOP_UCD;-;
UCD_TTF_MNT;-;
UCD_UCD_COD;-;
ARO_ASU_NAT;-;
ARO_CPL_COD;-;
ARO_ENV_TYP;-;
ARO_FJH_TYP;-;
ARO_FTA_COD;-;
ARO_MIN_TAU;-;
ARO_MOD_MNT;-;
ARO_ORD_NUM;-;
ARO_PRS_NAT;-;
ARO_REM_BSE;-;
ARO_REM_MNT;-;
ARO_REM_PRU;-;
ARO_REM_SGN;-;
ARO_REM_TAU;-;
ARO_REM_TYP;-;
ARO_THE_TAU;-;
INV_ATR_DTD;-;
INV_PEN_CAT;-;
INV_PEN_ETA;-;
ATT_NAT;-;
BEN_RAT_ANO;-;
RAT_IPP_DTE;-;
RAT_IPP_TAU;-;
DDP_COD;-;
ETB_EXE_FIN;-;
ETE_CAT_COD;-;
ETE_ETA_TRF;-;
ETE_GHS_NUM;-;
ETE_IND_TAA;-;
ETE_MCO_COE;-;
ETE_MCO_DDP;-;
ETE_NAT_FSJ;-;
ETE_STJ_COD;-;
ETE_TYP_COD;-;
MDT_COD;-;
MFT_COD;-;
PRS_PPU_SEC;-;
BEN_NIR_ANO;-;
BEN_IDT_ANO;-;
BEN_IDT_TOP;-;
ASS_NIR_ANO;-;
BEN_IDT_MAJ;-;
BEN_NAI_MOI;-;
BEN_TOP_CNS;-;
MAX_TRT_DTD;-;
BEN_DTE_INS;-;
BEN_DTE_MAJ;-;
AR1_ASU_NAT;-;
AR1_REM_BSE;-;
AR1_REM_MNT;-;
AR1_REM_TYP;-;
AR2_ASU_NAT;-;
