table;var;format;description;nomenclature
T_MCOaa_nnA;ACV_ACT;char;Activité;-
T_MCOaa_nnA;ANP_ACT;char;Association non prévue;-
T_MCOaa_nnA;CDC_ACT;char;Code CCAM (hors extension PMSI);-
T_MCOaa_nnA;CMP_DAT;char;Dates de validité de l'acte compatibles avec les dates du RUM;-
T_MCOaa_nnA;DOC_ACT;char;Extension documentaire;-
T_MCOaa_nnA;ENT_DAT_DEL;num;Délai depuis la date d'entrée;-
T_MCOaa_nnA;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnA;EXT_PMSI;char;Extension PMSI;-
T_MCOaa_nnA;MOD_ACT;char;Modificateurs;-
T_MCOaa_nnA;NBR_EXE_ACT;num;Nombre de réalisations de l'acte n° 1 pendant le séjour;-
T_MCOaa_nnA;PHA_ACT;char;Phase;-
T_MCOaa_nnA;REM_EXP_ACT;char;Remboursement exceptionnel;-
T_MCOaa_nnA;RSA_NUM;char;N° d'index du RSA ;-
T_MCOaa_nnA;RSS_NUM;char;Numéro de version du format du RSA;-
T_MCOaa_nnB;AGE_ANN;num;Age en années ;-
T_MCOaa_nnB;AGE_GES;num;Age gestationnel;-
T_MCOaa_nnB;AGE_JOU;num;Age en jours  ;-
T_MCOaa_nnB;ANT_SUP_NBR;num;Nombre de suppléments antepartum;-
T_MCOaa_nnB;AUT_PGV_NBR;num;Nombre d'autorisations d'unités médicales à portée globale valides (Nb_AutPGV);-
T_MCOaa_nnB;BDI_COD;char;Code géographique de résidence ;-
T_MCOaa_nnB;BDI_DEP;char;Code département de résidence;-
T_MCOaa_nnB;BEB_SEJ;char;Type de séjour inférieur à la borne extrême basse;-
T_MCOaa_nnB;BEH_NBJ;num;Nombre de journées au-delà de la borne extrême haute;-
T_MCOaa_nnB;CAI_SUP_NBR;num;Nombre de suppléments caisson hyperbare;-
T_MCOaa_nnB;COD_SEX;char;Sexe ;-
T_MCOaa_nnB;DEL_REG_ENT;num;Délai de la date des dernières règles par rapport à la date d'entrée;-
T_MCOaa_nnB;DGN_PAL;char;Diagnostic principal (DP) ;-
T_MCOaa_nnB;DGN_REL;char;Diagnostic relié (DR) ;-
T_MCOaa_nnB;DOS_TYP;char;Type de dosimétrie;-
T_MCOaa_nnB;ENT_MOD;char;Mode d'entrée dans le champ du PMSI-MCO ;-
T_MCOaa_nnB;ENT_PRV;char;Provenance ;-
T_MCOaa_nnB;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnB;ETE_GHS_NUM;num;Numéro de GHS (du GHM GENRSA);-
T_MCOaa_nnB;EXB_NBJ;num;Nb journées EXB;-
T_MCOaa_nnB;GHS_9615_ACT;num;Nombre d'actes menant dans le GHS 9615;-
T_MCOaa_nnB;GHS_HS_INNOV;char;GHS si non prise en compte de l'innovation;-
T_MCOaa_nnB;GHS_NUM;char;Numéro de GHS (du GHM GENRSA);-
T_MCOaa_nnB;GRC_GHM;char;GHM calculé par la clinique;-
T_MCOaa_nnB;GRC_RET;char;Groupage établissement Code Retour;-
T_MCOaa_nnB;GRC_VER;char;Groupage établissement Version classification;-
T_MCOaa_nnB;GRG_GHM;char;GHM calculé par le GENRSA;-
T_MCOaa_nnB;GRG_RET;char;Code retour obtenu par GENRSA;-
T_MCOaa_nnB;GRG_VER;char;Groupage GENRSA :Version de la classification;-
T_MCOaa_nnB;INNOV_NUM;char;Numéro d'innovation;-
T_MCOaa_nnB;MACH_TYP_RAD;char;Type de machine en radiothérapie;-
T_MCOaa_nnB;NBR_ACT;num;Nombre de zones d'actes (nA) dans ce RSA ;-
T_MCOaa_nnB;NBR_ACT;num;Nombre de zones d'actes (nA) dans ce RSA ;-
T_MCOaa_nnB;NBR_DGN;num;Nombre de diagnostics associés significatifs (nDAS) dans ce RSA ;-
T_MCOaa_nnB;NBR_RUM;num;Nombre de RUM composant le RSS d'origine (NbRUM) ;-
T_MCOaa_nnB;NBR_SEA;num;Nombre de séances ;-
T_MCOaa_nnB;NBR_SUP_NN1;num;Nombre de suppléments NN1;-
T_MCOaa_nnB;NBR_SUP_NN2;num;Nombre de suppléments NN2;-
T_MCOaa_nnB;NBR_SUP_NN3;num;Nombre de suppléments NN3;-
T_MCOaa_nnB;NBR_SUP_REA;num;Nombre de suppléments pour REA (réanimation);-
T_MCOaa_nnB;NBR_SUP_REP;num;Nombre de suppléments REP (réanimation pédiatrique);-
T_MCOaa_nnB;NBR_SUP_SOI;num;Nombre de suppléments soins intensifs provenant de la réanimation;-
T_MCOaa_nnB;NBR_SUP_SRC;num;Nombre de suppléments pour SRC (surveillance continue) ;-
T_MCOaa_nnB;NBR_SUP_STF;num;Nombre de suppléments pour STF (soins intensifs);-
T_MCOaa_nnB;PAS_LIT_DED;char;Passage dans un lit dédié de soins palliatifs;-
T_MCOaa_nnB;PLO_ACT;char;Type de prestation de prélèvement d'organe;-
T_MCOaa_nnB;POI_NAI;num;Poids d'entrée (en grammes) ;-
T_MCOaa_nnB;RSA_NUM;char;N° d'index du RSA ;-
T_MCOaa_nnB;RSS_NUM;char;Numéro de version du format du RSA;-
T_MCOaa_nnB;RTH_SUP_NBR;num;Nombre de zones de suppléments de radiothérapie (Nb_Rdth);-
T_MCOaa_nnB;SEJ_COD_CONF;char;Confirmation du codage du séjour;-
T_MCOaa_nnB;SEJ_NBJ;num;Durée totale du séjour dans le champ du PMSI (vide si séances) ;-
T_MCOaa_nnB;SEJ_TYP;char;Type de séjour ;-
T_MCOaa_nnB;SEQ_RUM;char;N° séquentiel du RUM ayant fourni le DP;-
T_MCOaa_nnB;SOR_ANN;char;Année de sortie ;-
T_MCOaa_nnB;SOR_DES;char;Destination ;-
T_MCOaa_nnB;SOR_MOD;char;Mode de sortie du champ PMSI-MCO ;-
T_MCOaa_nnB;SOR_MOI;char;Mois de sortie ;-
T_MCOaa_nnB;SUP_ENT_DPA;num;Nombre de suppléments pour les entraînements à la dialyse péritonéale automatisée hors séances;-
T_MCOaa_nnB;SUP_ENT_DPC;num;Nombre de suppléments pour les entraînements à la dialyse péritonéale continue ambulatoire hors séances;-
T_MCOaa_nnB;SUP_ENT_HEM;num;Nombre de suppléments pour les entraînements à l'hémodialyse hors séances;-
T_MCOaa_nnB;SUP_HEM_HS;num;Nombre de suppléments pour hémodialyse hors séances;-
T_MCOaa_nnB;SUP_RAD_PED;num;Nombre de suppléments radiothérapie pédiatrique;-
T_MCOaa_nnB;TAR_SEQ_NUM;char;Numéro séquentiel de tarifs;-
T_MCOaa_nnB;TOP_AVASTIN;char;Top Radiation partielle Avastin ;-
T_MCOaa_nnB;TOP_DEF_CARD;char;Supplément défibrillateur cardiaque;-
T_MCOaa_nnB;TOP_GHS_MIN_SUS;char;Top GHS minoré;-
T_MCOaa_nnB;TOP_VLV_AOR;char;Top valves aortiques percutanées;-
T_MCOaa_nnB;TYP_GEN_RSA;char;Type de génération automatique du RSA;-
T_MCOaa_nnB;UHCD_TOP;char;Top UHCD;-
T_MCOaa_nnC;COH_NAI_RET;char;Code retour contrôle « Cohérence date naissance »;-
